13                                                                                                  ,Sauron                                                                                              ,JACKSON                                                                                             ,           55,            11,          30,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1859,The Art of Fun-Having                                                                               ,MS
83                                                                                                  ,Arwen                                                                                               ,BROWN                                                                                               ,          141,             2,          13,female                                                                                              ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1879,Scocial Science                                                                                     ,BS
83                                                                                                  ,Arwen                                                                                               ,BROWN                                                                                               ,          141,             2,          13,female                                                                                              ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1899,EE                                                                                                  ,MA
84                                                                                                  ,Sarah                                                                                               ,DAVIS                                                                                               ,          287,            11,          11,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1863,CSE                                                                                                 ,BA
84                                                                                                  ,Sarah                                                                                               ,DAVIS                                                                                               ,          287,            11,          11,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1967,Scocial Science                                                                                     ,BS
84                                                                                                  ,Sarah                                                                                               ,DAVIS                                                                                               ,          287,            11,          11,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1912,Plant Biology                                                                                       ,MA
84                                                                                                  ,Sarah                                                                                               ,DAVIS                                                                                               ,          287,            11,          11,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1930,Physics                                                                                             ,MS
85                                                                                                  ,Frodo                                                                                               ,WILLIAMS                                                                                            ,          971,            11,           9,male                                                                                                ,Dol Amroth                                                                                          ,Gondor                                                                                              ,Middle Earth                                                                                        ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1814,Plant Biology                                                                                       ,MA
86                                                                                                  ,Legolas                                                                                             ,THOMAS                                                                                              ,          576,             1,          13,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1886,CSE                                                                                                 ,MSE
86                                                                                                  ,Legolas                                                                                             ,THOMAS                                                                                              ,          576,             1,          13,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1813,ChemE                                                                                               ,BS
86                                                                                                  ,Legolas                                                                                             ,THOMAS                                                                                              ,          576,             1,          13,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1856,The Art of Fun-Having                                                                               ,BS
87                                                                                                  ,Pippin                                                                                              ,MILLER                                                                                              ,          599,             4,          22,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1885,EE                                                                                                  ,MS
87                                                                                                  ,Pippin                                                                                              ,MILLER                                                                                              ,          599,             4,          22,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1874,BME                                                                                                 ,MSE
87                                                                                                  ,Pippin                                                                                              ,MILLER                                                                                              ,          599,             4,          22,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1925,Scocial Science                                                                                     ,MS
87                                                                                                  ,Pippin                                                                                              ,MILLER                                                                                              ,          599,             4,          22,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Breredon                                                                                            ,The Shire                                                                                           ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1859,CSE                                                                                                 ,BS
88                                                                                                  ,Ornella                                                                                             ,GARCIA                                                                                              ,          141,             4,           3,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1838,Plant Biology                                                                                       ,MA
88                                                                                                  ,Ornella                                                                                             ,GARCIA                                                                                              ,          141,             4,           3,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1886,Microbiology                                                                                        ,BS
89                                                                                                  ,Sauron                                                                                              ,DAVIS                                                                                               ,          259,            11,          24,male                                                                                                ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1952,Physics                                                                                             ,BS
90                                                                                                  ,Gandalf                                                                                             ,MARTINEZ                                                                                            ,          894,             9,          22,male                                                                                                ,Dol Amroth                                                                                          ,Gondor                                                                                              ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
91                                                                                                  ,Sarah                                                                                               ,THOMAS                                                                                              ,          366,            12,           8,female                                                                                              ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dol Amroth                                                                                          ,Gondor                                                                                              ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
92                                                                                                  ,Legolas                                                                                             ,WHITE                                                                                               ,           33,            12,          29,male                                                                                                ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
93                                                                                                  ,Faramir                                                                                             ,WILSON                                                                                              ,          925,             5,           1,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1936,CSE                                                                                                 ,BA
93                                                                                                  ,Faramir                                                                                             ,WILSON                                                                                              ,          925,             5,           1,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1974,The Art of Fun-Having                                                                               ,BS
93                                                                                                  ,Faramir                                                                                             ,WILSON                                                                                              ,          925,             5,           1,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1813,Physics                                                                                             ,MSE
93                                                                                                  ,Faramir                                                                                             ,WILSON                                                                                              ,          925,             5,           1,male                                                                                                ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1855,EE                                                                                                  ,BA
94                                                                                                  ,Raelag                                                                                              ,MARTIN                                                                                              ,          398,             2,           1,male                                                                                                ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
95                                                                                                  ,Pippin                                                                                              ,MARTINEZ                                                                                            ,          453,             7,          18,male                                                                                                ,Pelargir                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1801,BME                                                                                                 ,BS
96                                                                                                  ,Meriadoc                                                                                            ,JOHNSON                                                                                             ,          514,             5,          11,male                                                                                                ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1824,ME                                                                                                  ,BA
97                                                                                                  ,Hangvul                                                                                             ,JONES                                                                                               ,          800,             5,           6,female                                                                                              ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1882,The Art of Fun-Having                                                                               ,MSE
97                                                                                                  ,Hangvul                                                                                             ,JONES                                                                                               ,          800,             5,           6,female                                                                                              ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1868,Cell Biology                                                                                        ,MS
97                                                                                                  ,Hangvul                                                                                             ,JONES                                                                                               ,          800,             5,           6,female                                                                                              ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1917,Baby Stylist                                                                                        ,BA
97                                                                                                  ,Hangvul                                                                                             ,JONES                                                                                               ,          800,             5,           6,female                                                                                              ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1870,Material Science                                                                                    ,MA
98                                                                                                  ,Elrond                                                                                              ,SMITH                                                                                               ,          434,             8,          22,male                                                                                                ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Pelargir                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1916,Material Science                                                                                    ,MA
99                                                                                                  ,Kujin                                                                                               ,MOORE                                                                                               ,          692,             3,          18,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1889,EE                                                                                                  ,MSE
99                                                                                                  ,Kujin                                                                                               ,MOORE                                                                                               ,          692,             3,          18,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1970,BME                                                                                                 ,MS
99                                                                                                  ,Kujin                                                                                               ,MOORE                                                                                               ,          692,             3,          18,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1888,EE                                                                                                  ,MSE
99                                                                                                  ,Kujin                                                                                               ,MOORE                                                                                               ,          692,             3,          18,female                                                                                              ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1928,Cell Biology                                                                                        ,MS
